"item","a","b","n_observed","n_correct","converged"
"A56373",1.04468789699736,-4.13395732840591,5586,5471,TRUE
"A60516",0.706546884222603,-2.46960188173818,5586,4641,TRUE
"A62689",0.81588980192687,-0.139532443442015,5586,2918,TRUE
"A64810",1.04285962819335,0.175581661649875,5586,2563,TRUE
"A64856",0.893488718117173,0.903271303976255,5586,1855,TRUE
"A64931",0.339210938477219,-1.466139767558,5586,3455,TRUE
"A65288",0.32482015224935,-1.25266850923629,5586,3339,TRUE
"A65459",0.635143720873074,-1.75631326999664,5586,4110,TRUE
"A66159",1.56656099607007,-1.63886337044213,5586,4833,TRUE
"A66285",0.310168619159864,2.19417714936007,5586,1896,TRUE
"A66596",0.888855715426696,-1.19056319229375,5586,3974,TRUE
"A67022",0.980750995991546,-3.65426103922972,5586,5366,TRUE
"A67110",0.849172621831375,-0.797881468388063,5586,3578,TRUE
"A67115",0.409139536337578,3.91369808907043,5586,980,TRUE
"A67117",0.322684105442229,0.168204242670726,5586,2718,TRUE
"A67120",0.614559926591977,4.08133787431988,5586,486,TRUE
"A67122",0.97287291635444,-0.0998084010493742,5586,2886,TRUE
"A67124",0.665823012870748,-2.72876321109562,5586,4705,TRUE
"A67131",1.46111630060815,-0.323109328650137,5586,3220,TRUE
"A67153",0.972510844785102,-1.49271046147243,5586,4313,TRUE
"A67159",0.661219396119588,-1.38875240615246,5586,3895,TRUE
"A67161",0.568413660466334,2.25531613638188,5586,1293,TRUE
"A67171",0.0183948193844787,8.46584289447292,5586,2576,TRUE
"A67174",0.495941310092134,-2.39957963296907,5586,4221,TRUE
"A67180",0.445259218688966,-0.77240420229404,5586,3245,TRUE
"A67186",1.0835479364672,-0.770422421734454,5586,3683,TRUE
"A67189",0.529696419655743,-1.91666745612591,5586,4033,TRUE
"A67190",1.52469180781516,-2.40110014906036,5586,5275,TRUE
"A67192",0.614691036495799,-1.74081316167355,5586,4069,TRUE
"A67211",-1.02427439604183,-1.35747844605356,5586,1346,TRUE
"A67214",0.80084882670734,-3.36327865682662,5586,5142,TRUE
"A67216",1.48630364895273,-1.12403580699418,5586,4284,TRUE
"A67221",1.33854807536996,-1.83484298781512,5586,4864,TRUE
"A67223",0.481097367404812,0.288643775604499,5586,2606,TRUE
"A67231",0.995350841595449,-0.843075850675185,5586,3714,TRUE
"A67247",0.744764866964977,-1.94440984633145,5586,4390,TRUE
"A67253",1.24099395889397,-1.43200673277393,5586,4468,TRUE
"A67264",1.9027298101634,0.18547627429573,5586,2433,TRUE
"A67275",-0.0232740850328602,5.42355925714959,5586,2969,TRUE
"A67280",0.457777377843906,-3.68568359456365,5586,4663,TRUE
"A67283",0.533508981530126,-7.41312157826371,5586,5467,TRUE
"A67288",1.12007888757474,-2.43007172481351,5586,5069,TRUE
"A67292",1.29822200632677,-1.80345780771319,5586,4816,TRUE
"A67294",0.367229246960276,-2.4591727108502,5586,3943,TRUE
"A67295",1.27433664409373,-1.03565446722394,5586,4081,TRUE
"A67297",0.654626092869264,-1.2924277998342,5586,3817,TRUE
"A67303",0.888399288945099,-0.737375427826344,5586,3543,TRUE
"A67305",0.669536232816474,0.652748564035731,5586,2239,TRUE
"A67322",0.89586657758349,-1.77172553291885,5586,4455,TRUE
"A67326",0.517754568648207,0.18356025726367,5586,2664,TRUE
