method,step,a_mean,b_mean,abs_b_minus_theta_mean,slope_b_on_prev,fi_true_mean,p_correct,rmse_post,extreme_frac,extreme_share_of_sq_error
DQN,1,1.8712926887394492,-0.4007158427283468,0.8493877390954899,4.126268875277543e-16,0.5325245849268306,0.6215,1.2691485874332142,0.0,0.0
DQN,2,2.012743747607327,0.27272827372618785,0.7886843596159836,0.7295978864939613,0.6050725144704034,0.4125,0.9504933177006981,1.0,1.0
DQN,3,1.7105585363785432,0.16990859928672575,0.5810215075081598,0.6569147719774315,0.5599477899982237,0.462,0.7895072112225818,0.316,0.5589072396710024
DQN,4,1.713207351620754,0.12953215012547045,0.5068517080126964,0.5674861310857576,0.5926023985410934,0.4735,0.6886332185365475,0.1295,0.31673872137633263
DQN,5,1.6949950827065963,0.0008424857194789386,0.4788108407011156,0.693320164517842,0.5922377234031316,0.5125,0.60692097866909,0.0715,0.1971890627974071
DQN,6,1.7006597373017638,0.06809593995823954,0.49551541163978774,0.7580146811216053,0.5833506745528978,0.4805,0.5516597167549683,0.039,0.1022707003864919
DQN,7,1.6539887408064096,0.028195441938503596,0.44277770286211454,0.7080353908918628,0.5806079911246396,0.4875,0.5091850649780731,0.022,0.05625442353195914
DQN,8,1.6520740996922119,0.0067295527484169705,0.45240973800225204,0.7860861177222189,0.5730201905555785,0.5055,0.4774087353047965,0.0125,0.043415130640145634
DQN,9,1.635579652946493,0.03238702395765235,0.4203156413301739,0.7394701735450661,0.573719375673288,0.477,0.4504132869427955,0.0065,0.023728040077950773
DQN,10,1.6238928920847335,0.012887793175854334,0.3932674211030727,0.780766598151347,0.5758809752285999,0.4905,0.4265188426932707,0.0055,0.012592691435921542
DQN,11,1.6171326247959235,0.020536475826659965,0.3965691113807819,0.745158712420739,0.5709112444295483,0.505,0.4062257690398578,0.005,0.014549993628366769
DQN,12,1.6136241732142247,0.030707494028785164,0.4019961682187599,0.7683192621040104,0.5675522627556877,0.495,0.38944524903125927,0.0035,0.01206168460544952
DQN,13,1.6007507835461265,0.03696911445704329,0.3887642745490764,0.7604979246450254,0.5636584818565706,0.493,0.3737444502287275,0.002,0.0030730103825537306
DQN,14,1.5925323086442396,0.020406214056910642,0.39710618771819783,0.7656491229105624,0.5552075900210468,0.48,0.356225520473611,0.0015,0.0009406248145236787
DQN,15,1.587242230237238,0.0029538131011626547,0.3881323873835451,0.7283255074455051,0.555309601123079,0.5075,0.34983657328434026,0.0015,0.000974738138626145
DQN,16,1.577880567296719,0.0011501367942507081,0.3919031903922026,0.7539058012055025,0.5484528566050847,0.531,0.33965034832943436,0.0015,0.0010337848857804727
DQN,17,1.5701343200186952,0.004240134278683409,0.3874840932610162,0.7368865243068037,0.5450998122975864,0.5,0.3283186033286685,0.0015,0.0011062194321284939
DQN,18,1.56097893383932,0.01760841943837767,0.38447393962449505,0.7372991194069775,0.5402292049914919,0.504,0.3190390630129959,0.0015,0.0011714223952807635
DQN,19,1.5509511011146806,0.006294322058460595,0.37432564701607907,0.7135086670142727,0.5369779527421388,0.5045,0.3099276872085498,0.0015,0.0012412663529782104
DQN,20,1.5430515462465464,0.0028901891543463513,0.3804744623613816,0.741036458806262,0.5310386296369228,0.5045,0.3017119267348868,0.0015,0.0066587894638261815
DQN,21,1.5414894245889477,0.013494650593381837,0.3728002035581758,0.7486065589344177,0.5309670709593651,0.5205,0.2948203158639653,0.001,0.0013558139211441748
DQN,22,1.531833390509867,0.024720382094422334,0.37898371180278706,0.7554498372292139,0.5251153987524283,0.4835,0.2867746309641782,0.001,0.0014329518573984463
DQN,23,1.529115364927968,0.012315770899077582,0.38124499081778945,0.723469386471056,0.521019687435828,0.5135,0.27998215827590645,0.001,0.0015033199563185844
DQN,24,1.5223605749980726,0.007208140311739985,0.3755535086715504,0.7400726771054282,0.5189248020153413,0.506,0.27541760929658043,0.001,0.0015535608461431248
DQN,25,1.5210480142020348,0.005709795232680704,0.404751981807372,0.7075759756385929,0.5111791665502795,0.5045,0.27122595370646274,0.001,0.0016019499941325815
DQN,26,1.515280440501439,0.026880495369050923,0.40911682076941397,0.7001093713308891,0.5053935593354407,0.479,0.2655389638463641,0.001,0.00167130155528105
DQN,27,1.509099598540231,0.019537136954546796,0.40738695882794357,0.70890883516845,0.5036846690401231,0.5035,0.26026896627537055,0.001,0.001739668492333238
DQN,28,1.5048054475639356,0.030347370863595537,0.40036052053714355,0.7063986467640474,0.5023080370289664,0.506,0.25708243755267035,0.001,0.001783061920842152
DQN,29,1.496768310355175,0.04884781273184916,0.40346004319057244,0.731227277330344,0.4966211218818597,0.478,0.25329620380827506,0.001,0.0018367661495575888
DQN,30,1.4972206658567768,0.04147550506342335,0.4170138540138662,0.7092747170823639,0.4944794804389125,0.474,0.25088516581132214,0.001,0.0018722388595616582
