n_items,batch,rule,us_per_examinee_step
500,1,MFI,24.151425000127347
500,1,FIWL,117.17156499798875
500,1,MPWI,116.05197500102804
500,1,MEPV,228.66432000228087
500,1,DQN (proposed),602.8062750010577
500,2000,MFI,7.967259499946522
500,2000,FIWL,37.02843370001574
500,2000,MPWI,36.93499379996865
500,2000,MEPV,62.50184509999598
500,2000,DQN (proposed),35.27173100001164
2000,1,MFI,40.96850499990978
2000,1,FIWL,179.42121499800123
2000,1,MPWI,185.11585500164074
2000,1,MEPV,566.8603050025922
2000,1,DQN (proposed),610.9248150005442
2000,2000,MFI,37.47927220001657
2000,2000,FIWL,43.589249399974506
2000,2000,MPWI,43.62613829998736
2000,2000,MEPV,144.9256095999772
2000,2000,DQN (proposed),37.05747980002343
8000,1,MFI,97.5512949980839
8000,1,FIWL,374.1771500017421
8000,1,MPWI,370.74965000101656
8000,1,MEPV,1907.6144600012412
8000,1,DQN (proposed),600.2048900018053
8000,2000,MFI,200.35194359998061
8000,2000,FIWL,78.23516449998351
8000,2000,MPWI,78.71295240001928
8000,2000,MEPV,519.170422299976
8000,2000,DQN (proposed),41.80510839996713
