a,b,c
1.437662756518075291e+00,1.396424436248261625e+00,0.000000000000000000e+00
1.286538989116932097e+00,9.128128772158863313e-01,0.000000000000000000e+00
1.064790292348370304e+00,-1.098641713894170202e+00,0.000000000000000000e+00
1.202410051105974542e+00,-6.699795303293410997e-01,0.000000000000000000e+00
8.907100193969937907e-01,-1.451040479279224193e+00,0.000000000000000000e+00
9.722974298499209578e-01,-7.358253765491407083e-01,0.000000000000000000e+00
1.232638392067949562e+00,1.182916566128309643e+00,0.000000000000000000e+00
7.633068184619200558e-01,-9.221940634564486095e-01,0.000000000000000000e+00
6.527816243581014977e-01,-6.316358247260344116e-01,0.000000000000000000e+00
1.028348595821669376e+00,6.778481315384786710e-01,0.000000000000000000e+00
1.582469207662258626e+00,1.358442095896147173e+00,0.000000000000000000e+00
8.919316127886613987e-01,-6.813905789697003446e-01,0.000000000000000000e+00
1.001044077666888743e+00,-9.955561159761995571e-02,0.000000000000000000e+00
1.328291477546597266e+00,-1.628619414589592251e+00,0.000000000000000000e+00
1.291821780128256325e+00,1.064664207878606383e+00,0.000000000000000000e+00
1.459391237757835302e+00,1.121803311184340401e+00,0.000000000000000000e+00
1.213090563188936599e+00,-2.120279608117455972e+00,0.000000000000000000e+00
1.280814650040046798e+00,-1.799649756530729838e-01,0.000000000000000000e+00
1.075334321642945179e+00,-4.676136807211876967e-01,0.000000000000000000e+00
1.093944089303447553e+00,-7.340199375412140848e-01,0.000000000000000000e+00
1.476332711893413752e+00,3.800902966508035163e-01,0.000000000000000000e+00
1.022552892294224636e+00,1.664041398156985263e+00,0.000000000000000000e+00
1.187165121234271981e+00,-5.455261464403230592e-02,0.000000000000000000e+00
9.271547892082521169e-01,4.167568809191930790e-02,0.000000000000000000e+00
1.320983223017501818e+00,1.012042928035117306e+00,0.000000000000000000e+00
1.103543909985556182e+00,-4.664168220873768922e-01,0.000000000000000000e+00
1.145055724653973650e+00,-7.080058277967861413e-02,0.000000000000000000e+00
1.808545053181339846e+00,-7.150366405408844495e-01,0.000000000000000000e+00
8.689304313637373767e-01,5.899443631531930965e-01,0.000000000000000000e+00
1.105052691711533308e+00,3.232638448487636929e-01,0.000000000000000000e+00
1.270256751903471759e+00,1.780406393197553561e+00,0.000000000000000000e+00
1.360685032987682508e+00,5.824990705393657819e-01,0.000000000000000000e+00
1.077002034789093399e+00,-1.407451871100527718e+00,0.000000000000000000e+00
9.449990245725250482e-01,9.493984152268388765e-01,0.000000000000000000e+00
8.945291383594385914e-01,1.928233195271318312e+00,0.000000000000000000e+00
1.406404000646014119e+00,1.542471026370338505e+00,0.000000000000000000e+00
1.038323015276103156e+00,-3.192983877757790689e-01,0.000000000000000000e+00
1.292872403262269598e+00,-1.502143114486606867e+00,0.000000000000000000e+00
1.171919112754740144e+00,-2.881557523386806680e-02,0.000000000000000000e+00
1.096987867956632945e+00,-7.193816317008813188e-01,0.000000000000000000e+00
9.441605748442172263e-01,-5.815589563969391501e-02,0.000000000000000000e+00
1.163925509221155785e+00,-6.314322814672800044e-02,0.000000000000000000e+00
7.484947809198329027e-01,-1.832007294703236200e-01,0.000000000000000000e+00
1.310203435893857238e+00,1.134149519227674485e+00,0.000000000000000000e+00
1.369511248400297365e+00,9.448006660391783385e-01,0.000000000000000000e+00
1.016450092665946991e+00,-1.656663925229738821e+00,0.000000000000000000e+00
1.147903642919937184e+00,9.081520488224996690e-01,0.000000000000000000e+00
9.912089629307887506e-01,1.517423466333643445e+00,0.000000000000000000e+00
1.268523660663361419e+00,1.262028032993131044e+00,0.000000000000000000e+00
1.357864778212395818e+00,-7.642574911321946551e-01,0.000000000000000000e+00
1.142662362919287133e+00,-1.156633960329135347e+00,0.000000000000000000e+00
1.326998672259438905e+00,-1.490090214940949620e+00,0.000000000000000000e+00
1.685067403160842581e+00,-1.331184878562760021e-01,0.000000000000000000e+00
1.118595505174047489e+00,8.225384019699577554e-01,0.000000000000000000e+00
2.053745120046505779e+00,1.122657710216182103e+00,0.000000000000000000e+00
1.014292734177109967e+00,-1.411303553088127938e+00,0.000000000000000000e+00
1.559540343905647219e+00,-1.255395643707145348e-01,0.000000000000000000e+00
1.059058680529264329e+00,-2.822313189986683235e-01,0.000000000000000000e+00
1.352019684511423625e+00,4.596576596199645204e-01,0.000000000000000000e+00
1.496280595242266864e+00,-1.671367506352213317e+00,0.000000000000000000e+00
1.502890518935915853e+00,-6.499128020405366968e-01,0.000000000000000000e+00
1.274320040309268043e+00,-1.379399728304899209e-01,0.000000000000000000e+00
1.041646994483458544e+00,2.402358005888179104e-01,0.000000000000000000e+00
9.759781726606561181e-01,8.225841741665088636e-01,0.000000000000000000e+00
5.112845270693506805e-01,-1.110622910362553561e+00,0.000000000000000000e+00
9.042461670268460150e-01,-4.151629020488838973e-01,0.000000000000000000e+00
1.109504705737926589e+00,8.788727792889992063e-01,0.000000000000000000e+00
1.178560043300528770e+00,-1.154587563912629955e+00,0.000000000000000000e+00
9.674678276848371894e-01,6.242710745542288109e-01,0.000000000000000000e+00
1.696040098441998545e+00,7.930603146529764391e-01,0.000000000000000000e+00
1.052638008182402718e+00,1.155477057811558295e+00,0.000000000000000000e+00
1.256689624290273422e+00,-5.644776998952109048e-01,0.000000000000000000e+00
1.340008885355691515e+00,1.209368411719613068e+00,0.000000000000000000e+00
1.245164038198543821e+00,2.667305146795605708e+00,0.000000000000000000e+00
9.697868893960271963e-01,8.983538829275861115e-01,0.000000000000000000e+00
1.403186759287470498e+00,-9.661356617524757828e-01,0.000000000000000000e+00
1.230588162629961735e+00,-1.179866704413401912e+00,0.000000000000000000e+00
1.707943859092084793e+00,-1.394961339247315024e+00,0.000000000000000000e+00
1.396933945886501549e+00,-4.716641674338982182e-01,0.000000000000000000e+00
9.810908004279286221e-01,-1.048434639240799271e+00,0.000000000000000000e+00
1.324627213116789326e+00,-7.358799539535184620e-01,0.000000000000000000e+00
1.158927616788579362e+00,-6.593811652528615008e-01,0.000000000000000000e+00
1.155174877465717342e+00,-1.588920459708926397e-02,0.000000000000000000e+00
1.220941732981483785e+00,-4.363773198353550903e-02,0.000000000000000000e+00
1.356726404386816798e+00,-3.719450646819802975e-01,0.000000000000000000e+00
1.128241589444930026e+00,1.804416817050182864e-01,0.000000000000000000e+00
1.216384912225598969e+00,-4.534630796384345186e-01,0.000000000000000000e+00
1.286370183437451242e+00,-8.454770384549344930e-01,0.000000000000000000e+00
9.932673554059832099e-01,6.075496758674576725e-01,0.000000000000000000e+00
1.187113425902433406e+00,2.613640805059315730e-01,0.000000000000000000e+00
1.009469674259756866e+00,1.102489346341901433e+00,0.000000000000000000e+00
9.492081531776808134e-01,-5.643294204296593897e-01,0.000000000000000000e+00
1.410257222972452373e+00,1.983496410277104521e-02,0.000000000000000000e+00
1.612635976668359561e+00,1.358913780044312514e+00,0.000000000000000000e+00
1.152684154092292967e+00,-7.606142828469588668e-01,0.000000000000000000e+00
1.402741199075331346e+00,3.113494519963130869e-01,0.000000000000000000e+00
1.370065481926493023e+00,4.759415573660075172e-01,0.000000000000000000e+00
1.285320952914504211e+00,-5.637487694398380933e-01,0.000000000000000000e+00
1.556436379386318736e+00,1.220646397564185692e+00,0.000000000000000000e+00
7.174210882260212419e-01,2.125417003443015762e+00,0.000000000000000000e+00
1.525335837131531758e+00,-7.869692099897517279e-01,0.000000000000000000e+00
1.150066972856924385e+00,2.065935867017584471e+00,0.000000000000000000e+00
9.411305817286292896e-01,5.706265014546659797e-01,0.000000000000000000e+00
9.021113899030553940e-01,-1.311649022768136330e+00,0.000000000000000000e+00
1.317632873422554418e+00,-6.543572012037444097e-01,0.000000000000000000e+00
1.174725100708817083e+00,-4.603672959147445121e-01,0.000000000000000000e+00
1.184117588983252034e+00,-1.180548792228673038e+00,0.000000000000000000e+00
1.470910533188171554e+00,-1.320769666694876943e+00,0.000000000000000000e+00
8.950030401190800511e-01,-1.208299583273736710e-01,0.000000000000000000e+00
8.293879096100749138e-01,-6.282066764401365022e-01,0.000000000000000000e+00
7.761668487919728410e-01,-1.064930979373583941e-01,0.000000000000000000e+00
1.077076402919495468e+00,7.172662662374129638e-02,0.000000000000000000e+00
1.004876551450279543e+00,8.219458974010992458e-01,0.000000000000000000e+00
1.453595756051172749e+00,7.112792859313024074e-01,0.000000000000000000e+00
1.341233805056102124e+00,2.758913454267682419e-01,0.000000000000000000e+00
1.436744285041429370e+00,1.998286205164643059e+00,0.000000000000000000e+00
1.516132063957764675e+00,6.079984415726484848e-01,0.000000000000000000e+00
1.000383240789458172e+00,5.200124127251989220e-02,0.000000000000000000e+00
1.485151901263454643e+00,-3.723724626815149152e-01,0.000000000000000000e+00
1.030026351841725196e+00,1.933709110996179481e+00,0.000000000000000000e+00
1.345123033536241630e+00,1.055037298111448640e+00,0.000000000000000000e+00
1.354569004049500203e+00,3.155759972280431924e+00,0.000000000000000000e+00
1.378247692527547086e+00,8.289379536817679250e-01,0.000000000000000000e+00
1.510971860328178540e+00,-9.523166811448762203e-01,0.000000000000000000e+00
9.782385436113080202e-01,1.441184878655612955e+00,0.000000000000000000e+00
1.232543834917767533e+00,-4.022840559014004280e-01,0.000000000000000000e+00
9.773566317940463044e-01,-1.060192990449120742e+00,0.000000000000000000e+00
1.598079602133599231e+00,-9.191019580231574171e-01,0.000000000000000000e+00
1.438470788095975283e+00,1.849711139187613984e+00,0.000000000000000000e+00
