method,step,extreme_frac,extreme_share_of_sq_error,rmse_post
DQN,2,1.0,1.0,0.9665734136622105
DQN,3,0.336,0.5761076018963457,0.7919186408532892
DQN,5,0.061,0.16337375824396952,0.5987923427308678
DQN,10,0.0035,0.012583073773226613,0.43019522884840766
MEPV,2,1.0,1.0,0.9504933177006981
MEPV,3,0.316,0.5522845629547699,0.7840507034966866
MEPV,5,0.0645,0.1752107258044912,0.5981627105226949
MEPV,10,0.002,0.008564939951307854,0.4255137566913352
MFI,2,1.0,1.0,0.9484527822855846
MFI,3,0.2945,0.4961855163180019,0.7768796107220506
MFI,5,0.022,0.07354956693604484,0.6219906750873652
MFI,10,0.001,0.0004010576984181096,0.4511513890630652
