condition,step,rmse,mae,bias,correlation,distinct_items,dataset,rep,split_seed,reference_kind,train_seed,shuffle_seed,n_epochs,episodes,transitions,grad_steps,best_val_return,best_epoch,best_episodes
FIWL,1,81.96049710774186,79.68077136548672,78.53796776426346,0.3787530279356372,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,2,116.18560855876991,106.350281652652,105.9044221004854,0.5503163871811411,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,3,114.41094422884088,88.60075280728508,88.21303705146973,0.6965024394743744,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,4,87.59330439293718,48.76353652165517,48.31888892199269,0.6328517512260717,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,5,66.76421907061432,27.61903288338465,27.229670934029865,0.5692606026764382,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,6,54.26259852641837,18.086996890379787,17.72825807517317,0.5061546642900842,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,7,41.899370487058434,10.868935347266945,10.542127541084644,0.4590706675232268,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,8,30.955167349050026,6.066128752005696,5.763468414704292,0.3691307465688334,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,9,25.750775568430218,4.28190430497366,3.996483865546808,0.3107565821946286,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,10,19.624374064317944,2.624398477361115,2.35813210664287,0.2783079136101298,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,11,15.338412726846665,1.722105633210896,1.4675239402739877,0.2559326636111109,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,12,12.234274020245822,1.2108388718658412,0.9640814616605689,0.2435089249624502,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,13,8.004495079353294,0.6921030817916878,0.4589651498276335,0.2472741997949169,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,14,8.003910669013745,0.6760432138913945,0.4557792547436989,0.2469006744323199,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,15,6.533888433290295,0.5405729482093836,0.3236680143182716,0.2594901081432799,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,16,6.532888136816626,0.5306839174694502,0.3173782025759656,0.2591600649562623,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,17,6.532170419096924,0.5210157245557885,0.3155612567598184,0.2589764365810335,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
FIWL,18,6.531865584014097,0.5173858474834926,0.3169369404261347,0.2594028668919238,138,choi_2026_cmsce_2021_2,1,20260904,theta_full_EAP,,,,,,,,,
