id,theta_reference,stratum,split,used_in_run
1,-1.51317498741787,0,train,True
10,-1.61487450819473,0,test,True
100,-0.576983971697635,3,train,True
1000,-1.23078288505542,0,test,True
1001,-1.42629016316068,0,validation,True
1002,-0.78488362449289,2,train,True
1003,0.796291552230205,7,train,True
1004,-0.308009196970548,4,train,True
1005,-0.574940195980667,3,test,True
1006,-0.522438186207946,3,validation,True
1007,0.8900012396024,8,train,True
1008,-1.07904181510043,1,test,True
1009,-0.0006589192701423,5,train,True
101,-0.211984084643547,4,validation,True
1010,-1.01695719353357,1,train,True
1011,-0.0859041390631804,5,train,True
1012,0.258249626443698,6,train,True
1013,-0.253024326538396,4,train,True
1014,-0.707365019431112,2,train,True
1015,0.453549156621541,6,train,True
1016,-1.09815905047569,1,train,True
1017,-0.153202526569138,4,train,True
1018,-1.04544932003574,1,train,True
1019,-0.238824867334275,4,train,True
102,-1.07932846503643,1,train,True
1020,-0.63623551997751,2,test,True
1021,-1.29770706118732,0,train,True
1022,-0.46698491527793,3,test,True
1023,-1.01182730663813,1,train,True
1024,-0.79561478101227,2,validation,True
1025,-1.36209572630861,0,train,True
1026,-1.47402407587883,0,train,True
1027,-0.667774642656193,2,train,True
1028,0.67644383716053,7,train,True
1029,-0.365961125815745,3,train,True
103,-0.654202381476221,2,test,True
1030,-0.774635129378574,2,train,True
1031,-0.336967836097637,4,train,True
1032,-0.915004929663387,1,train,True
1033,-0.166408801482437,4,train,True
1034,-1.01755442343669,1,train,True
1035,-0.0721603030764272,5,validation,True
1036,-1.67878053100387,0,train,True
1037,-0.260687653702206,4,train,True
1038,-0.696551521774061,2,train,True
1039,-1.22839210924928,0,test,True
104,-0.354751050737254,4,train,True
1040,-0.686899384963571,2,train,True
1041,-0.057101734176694,5,test,True
1042,0.161882461360166,5,train,True
1043,-1.23786766248002,0,train,True
1044,-1.08773332687173,1,test,True
1045,-0.503871852343534,3,train,True
1046,-1.35365672961834,0,train,True
1047,-1.03752803247167,1,train,True
1048,-0.327770542446202,4,train,True
1049,-0.376744918593813,3,validation,True
105,-0.084517776485626,5,test,True
1050,-0.463119267045896,3,train,True
1051,-0.0355250847401955,5,train,True
1052,0.707040257579254,7,test,True
1053,-0.67951192311092,2,test,True
1054,0.144643260879372,5,validation,True
1055,-0.396541747578575,3,train,True
1056,-0.94651893133223,1,train,True
1057,-0.796016024792355,2,train,True
1058,-0.0601805080027242,5,train,True
1059,-0.323034921312236,4,train,True
106,-0.943832247593438,1,test,True
1060,-0.810161957075319,2,train,True
1061,-0.65772082738393,2,test,True
1062,0.109939964320186,5,validation,True
1063,0.0808714870973023,5,train,True
1064,-0.630069674317261,2,train,True
1065,-1.01234839055737,1,train,True
1066,-0.181036891412845,4,train,True
1067,0.32681911557474,6,train,True
1068,1.04558546478957,8,test,True
1069,-0.228449659794673,4,train,True
107,-1.03140296697304,1,validation,True
1070,-0.28296646392709,4,test,True
1071,1.27662754045422,8,train,True
1072,-0.270650068614131,4,train,True
1073,-0.353419060090521,4,train,True
1074,-0.145239105661778,4,train,True
1075,-0.12914524716894,4,train,True
1076,0.710793936230364,7,train,True
1077,0.825603155293105,7,train,True
1078,0.0368550095105974,5,train,True
1079,1.88873379486814,9,train,True
108,-1.40679070846004,0,train,True
1080,0.163942876759573,5,validation,True
1081,0.12618792821943,5,validation,True
1082,-0.372879340576015,3,train,True
1083,-0.086466961078643,5,train,True
1084,-0.387228467069559,3,train,True
1085,0.268859438117862,6,train,True
1086,0.548689065709064,7,train,True
1087,-1.11379738859639,1,train,True
1088,-0.266140351076899,4,train,True
1089,0.196385603871916,6,train,True
109,-0.810293574158227,2,validation,True
1090,-0.155796511177345,4,train,True
1091,-0.103421935923254,4,test,True
1092,0.118936845477981,5,train,True
1093,0.295020325407669,6,train,True
1094,0.265251909505467,6,train,True
1095,-0.0602643827482955,5,test,True
1096,0.650466772236694,7,train,True
1097,-0.900112969069384,2,train,True
1098,0.645641828631965,7,train,True
1099,0.0579996339009742,5,train,True
11,-1.18475045000763,1,train,True
110,-0.780869335796157,2,train,True
1100,0.357226075202068,6,train,True
1101,0.150227672041938,5,train,True
1102,0.433129111305526,6,validation,True
1103,0.0984036380104645,5,train,True
1104,1.28662925875868,8,train,True
1105,-0.761898649136591,2,validation,True
1106,-0.373330467795891,3,validation,True
1107,-0.280961711243484,4,test,True
1108,-0.628471859463713,2,train,True
1109,-0.315702001704572,4,train,True
111,-1.30409478374012,0,train,True
1110,-0.337987817758324,4,train,True
1111,0.789980649815414,7,train,True
1112,-0.395765703136712,3,validation,True
1113,0.366550195454194,6,train,True
1114,0.641342583154679,7,test,True
1115,1.21932457841934,8,test,True
1116,0.759015094038521,7,test,True
1117,0.16269638505077,5,validation,True
1118,-0.458102681382015,3,validation,True
1119,-0.0927961725831675,5,train,True
112,-0.971063099084544,1,train,True
1120,-0.244673553049975,4,test,True
1121,-0.300434972319705,4,validation,True
1122,-0.0413376281335837,5,train,True
1123,0.686324816862911,7,test,True
1124,-0.577380465825013,3,test,True
1125,-0.457756975345754,3,train,True
1126,-1.02974120969678,1,test,True
1127,-1.27965164799774,0,test,True
1128,0.918687485297263,8,train,True
1129,0.156557277447094,5,test,True
113,-1.10275559311316,1,validation,True
1130,-0.635304531842754,2,train,True
1131,0.857033709271858,7,train,True
1132,-0.845245632464695,2,train,True
1133,-0.0745788855717037,5,test,True
1134,-0.23951894628078,4,train,True
1135,-0.518637573164808,3,train,True
1136,-0.248839583871512,4,test,True
1137,-0.785467186088983,2,train,True
1138,-1.05953805428079,1,train,True
1139,0.4627800537516,6,train,True
114,-1.22663228533738,0,test,True
1140,-0.327019337848764,4,train,True
1141,1.40978401786973,9,train,True
1142,0.955037873477032,8,validation,True
1143,1.29746143168231,8,test,True
1144,1.73231079200483,9,test,True
1145,-0.0299404962060713,5,train,True
1146,0.105690196641164,5,train,True
1147,0.146241199619291,5,train,True
1148,1.4114266625136,9,train,True
1149,1.73935582835474,9,train,True
115,0.166243213339201,5,train,True
1150,1.28473495472304,8,train,True
1151,-0.165261829266279,4,train,True
1152,1.04542875569984,8,train,True
1153,2.29292692873634,9,train,True
1154,1.79217162543417,9,test,True
1155,-0.589658061001713,3,train,True
1156,0.5099816936035,7,train,True
1157,0.267763849728575,6,train,True
1158,1.90085285307558,9,train,True
1159,-0.0887504766874067,5,train,True
116,-0.835942226759174,2,train,True
1160,-0.185744361318316,4,validation,True
1161,-0.586399568685677,3,train,True
1162,-1.14274902327253,1,train,True
1163,0.939993287704688,8,train,True
1164,1.62660537855691,9,train,True
1165,-0.839865251423757,2,test,True
1166,0.39070066648219,6,validation,True
1167,0.95505851579469,8,train,True
1168,-0.122093894959742,4,test,True
1169,0.777634749164948,7,train,True
117,-0.971989473246509,1,train,True
1170,-0.255620076309098,4,validation,True
1171,0.1986991395813,6,test,True
1172,2.20818719651807,9,train,True
1173,0.832455922955534,7,train,True
1174,0.941629509253197,8,train,True
1175,1.05626684081659,8,train,True
1176,1.31715986933486,8,train,True
1177,1.07937660452283,8,train,True
1178,2.01856696985905,9,train,True
1179,1.75714196255519,9,test,True
118,-0.402423747807552,3,test,True
1180,1.19577533585518,8,test,True
1181,0.300070529140604,6,validation,True
1182,1.84221034401415,9,test,True
1183,1.01124279825824,8,train,True
1184,0.409047102275425,6,test,True
1185,0.462190201999289,6,train,True
1186,0.370166151483428,6,train,True
1187,-0.0433988142038015,5,train,True
1188,1.07490410770284,8,train,True
1189,1.0508572472942,8,train,True
119,-1.31684945631645,0,train,True
1190,1.6556533037179,9,test,True
1191,-0.166858023110155,4,train,True
1192,1.43622269944819,9,train,True
