n_items,batch,rule,us_per_examinee_step
500,1,MFI,7.103334999999378
500,1,FIWL,35.71124999999897
500,1,MPWI,35.675000000000566
500,1,MEPV,53.401874999999826
500,1,DQN (proposed),49.49229499999985
500,2000,MFI,2.464983300000001
500,2000,FIWL,8.793704199999985
500,2000,MPWI,8.815845900000017
500,2000,MEPV,10.950974999999998
500,2000,DQN (proposed),8.77819580000001
2000,1,MFI,14.39208500000011
2000,1,FIWL,40.1787500000006
2000,1,MPWI,40.144165000000065
2000,1,MEPV,78.78582999999995
2000,1,DQN (proposed),72.2866649999998
2000,2000,MFI,10.09637080000001
2000,2000,FIWL,10.771762500000026
2000,2000,MPWI,10.723974999999976
2000,2000,MEPV,19.62690829999998
2000,2000,DQN (proposed),9.800912499999992
8000,1,MFI,44.57916500000047
8000,1,FIWL,58.86020499999978
8000,1,MPWI,58.82708499999945
8000,1,MEPV,390.054999999998
8000,1,DQN (proposed),90.25562499999974
8000,2000,MFI,44.37943330000001
8000,2000,FIWL,18.643441700000004
8000,2000,MPWI,18.66284170000001
8000,2000,MEPV,56.58660409999996
8000,2000,DQN (proposed),14.275895900000002
