a,b,c
1.437662756518075291e+00,1.396424436248261625e+00,1.084800876200280317e-01
1.286538989116932097e+00,9.128128772158863313e-01,1.684396090115752309e-01
1.064790292348370304e+00,-1.098641713894170202e+00,2.913215344299420195e-01
1.202410051105974542e+00,-6.699795303293410997e-01,1.904168457215598131e-01
8.907100193969937907e-01,-1.451040479279224193e+00,1.239119527325791559e-01
9.722974298499209578e-01,-7.358253765491407083e-01,1.934216810543640253e-01
1.232638392067949562e+00,1.182916566128309643e+00,1.612912205774834906e-01
7.633068184619200558e-01,-9.221940634564486095e-01,2.093538242711332209e-01
6.527816243581014977e-01,-6.316358247260344116e-01,2.035360266019261288e-01
1.028348595821669376e+00,6.778481315384786710e-01,1.315588243001799273e-01
1.582469207662258626e+00,1.358442095896147173e+00,2.817929649892031985e-01
8.919316127886613987e-01,-6.813905789697003446e-01,1.217512909965607210e-01
1.001044077666888743e+00,-9.955561159761995571e-02,1.624140165860310236e-01
1.328291477546597266e+00,-1.628619414589592251e+00,2.478044267232543674e-01
1.291821780128256325e+00,1.064664207878606383e+00,1.675288389731277305e-01
1.459391237757835302e+00,1.121803311184340401e+00,2.270759198872165652e-01
1.213090563188936599e+00,-2.120279608117455972e+00,1.111309504504516266e-01
1.280814650040046798e+00,-1.799649756530729838e-01,1.568264350604549606e-01
1.075334321642945179e+00,-4.676136807211876967e-01,2.995805874309919181e-01
1.093944089303447553e+00,-7.340199375412140848e-01,2.848007369871067840e-01
1.476332711893413752e+00,3.800902966508035163e-01,2.579479924891138753e-01
1.022552892294224636e+00,1.664041398156985263e+00,2.565148851807524943e-01
1.187165121234271981e+00,-5.455261464403230592e-02,2.116437061142397991e-01
9.271547892082521169e-01,4.167568809191930790e-02,2.270295456760789421e-01
1.320983223017501818e+00,1.012042928035117306e+00,2.823810216037124787e-01
1.103543909985556182e+00,-4.664168220873768922e-01,2.216841553856140346e-01
1.145055724653973650e+00,-7.080058277967861413e-02,1.499466739215669087e-01
1.808545053181339846e+00,-7.150366405408844495e-01,2.903435175798762535e-01
8.689304313637373767e-01,5.899443631531930965e-01,1.087714652904201995e-01
1.105052691711533308e+00,3.232638448487636929e-01,2.612365407825495978e-01
1.270256751903471759e+00,1.780406393197553561e+00,1.614513821243145630e-01
1.360685032987682508e+00,5.824990705393657819e-01,1.457479949010623277e-01
1.077002034789093399e+00,-1.407451871100527718e+00,1.196777806599964439e-01
9.449990245725250482e-01,9.493984152268388765e-01,2.447817348433612150e-01
8.945291383594385914e-01,1.928233195271318312e+00,2.213785605398459755e-01
1.406404000646014119e+00,1.542471026370338505e+00,2.193686823773995931e-01
1.038323015276103156e+00,-3.192983877757790689e-01,2.152853867164861712e-01
1.292872403262269598e+00,-1.502143114486606867e+00,2.649999412317423086e-01
1.171919112754740144e+00,-2.881557523386806680e-02,1.528924567160162562e-01
1.096987867956632945e+00,-7.193816317008813188e-01,1.340291676905071561e-01
9.441605748442172263e-01,-5.815589563969391501e-02,1.214052188472675015e-01
1.163925509221155785e+00,-6.314322814672800044e-02,2.424826205630508102e-01
7.484947809198329027e-01,-1.832007294703236200e-01,1.931432089510173589e-01
1.310203435893857238e+00,1.134149519227674485e+00,2.389771114143346142e-01
1.369511248400297365e+00,9.448006660391783385e-01,1.704769041543212071e-01
1.016450092665946991e+00,-1.656663925229738821e+00,1.338969418765466879e-01
1.147903642919937184e+00,9.081520488224996690e-01,2.298553209444931522e-01
9.912089629307887506e-01,1.517423466333643445e+00,2.740980822931566308e-01
1.268523660663361419e+00,1.262028032993131044e+00,2.936321366212100714e-01
1.357864778212395818e+00,-7.642574911321946551e-01,1.780802901262567017e-01
1.142662362919287133e+00,-1.156633960329135347e+00,1.526285169808933861e-01
1.326998672259438905e+00,-1.490090214940949620e+00,1.253842503473738546e-01
1.685067403160842581e+00,-1.331184878562760021e-01,2.977607890434790794e-01
1.118595505174047489e+00,8.225384019699577554e-01,2.806670001469104281e-01
2.053745120046505779e+00,1.122657710216182103e+00,1.527695449371524739e-01
1.014292734177109967e+00,-1.411303553088127938e+00,2.580080838604369431e-01
1.559540343905647219e+00,-1.255395643707145348e-01,2.832446154752343292e-01
1.059058680529264329e+00,-2.822313189986683235e-01,2.262968187601001602e-01
1.352019684511423625e+00,4.596576596199645204e-01,1.402790878338887604e-01
1.496280595242266864e+00,-1.671367506352213317e+00,1.114238713929915359e-01
1.502890518935915853e+00,-6.499128020405366968e-01,2.653039220082116789e-01
1.274320040309268043e+00,-1.379399728304899209e-01,2.828924178580197735e-01
1.041646994483458544e+00,2.402358005888179104e-01,1.698849468583968625e-01
9.759781726606561181e-01,8.225841741665088636e-01,2.140521108392189620e-01
5.112845270693506805e-01,-1.110622910362553561e+00,2.937972728188242288e-01
9.042461670268460150e-01,-4.151629020488838973e-01,2.676695145667569720e-01
1.109504705737926589e+00,8.788727792889992063e-01,1.158396053133039505e-01
1.178560043300528770e+00,-1.154587563912629955e+00,2.270854199456039668e-01
9.674678276848371894e-01,6.242710745542288109e-01,1.032706996657996729e-01
1.696040098441998545e+00,7.930603146529764391e-01,1.356576858871764157e-01
1.052638008182402718e+00,1.155477057811558295e+00,2.326317103569507383e-01
1.256689624290273422e+00,-5.644776998952109048e-01,1.999332559128251807e-01
1.340008885355691515e+00,1.209368411719613068e+00,1.097335462402047601e-01
1.245164038198543821e+00,2.667305146795605708e+00,2.384187720636430363e-01
9.697868893960271963e-01,8.983538829275861115e-01,2.838249940500180424e-01
1.403186759287470498e+00,-9.661356617524757828e-01,2.074753377154223144e-01
1.230588162629961735e+00,-1.179866704413401912e+00,2.249006475671120608e-01
1.707943859092084793e+00,-1.394961339247315024e+00,2.456867852582980682e-01
1.396933945886501549e+00,-4.716641674338982182e-01,2.394977355742420599e-01
