step,prec_gain_mean,prec_gain_sd,prec_gain_neg_frac,logvar_mean,logvar_sd
1,0.4830868483229164,0.06131870384554812,0.0,0.392997180915994,0.04087982904508886
2,0.5507362983290813,0.08005466649962915,0.0,0.3152108691135454,0.04136296058169693
3,0.5571452409373452,0.13579265025567339,0.0,0.24125684142116652,0.053349440596182726
4,0.5471819561114674,0.18409171600150775,0.0015,0.1898952748155622,0.05942644207867511
5,0.5818244211183367,0.1870898551099638,0.0,0.16952709091946455,0.053314260735780855
6,0.5770953496491904,0.18349630544186682,0.0,0.14394887991286803,0.04550430149608426
7,0.5820241683531828,0.178508613492391,0.0,0.1270859904336066,0.03961321698876806
8,0.5854229775057583,0.1786876148673515,0.0,0.1133192367123691,0.035222790823128944
9,0.582424064228416,0.17421301402267408,0.001,0.10126816682285539,0.030720681988480554
10,0.576236113333484,0.16634841965675357,0.0,0.09093249641829816,0.026163547480182354
11,0.5804031482951869,0.16401759497050586,0.0,0.0840965260496852,0.024349949859732038
12,0.5778270035827385,0.15822572976973207,0.0,0.07723153458934412,0.02158740345294723
13,0.5739191636690876,0.15538501913201597,0.0,0.07126710525008254,0.019947551656159645
14,0.5678730825704087,0.1525822423066445,0.0,0.0658343199919829,0.01828070812006735
15,0.5659658875941582,0.1463445788973468,0.0,0.06151659750905254,0.016095415638531493
16,0.5619803199146923,0.14338013894340063,0.0005,0.05760546778286181,0.015259201899266826
17,0.5504582604164021,0.1407235411230631,0.0005,0.053285876377217205,0.013754655127409523
18,0.5492047176080875,0.13607200033602157,0.0,0.05049447875296108,0.012552698629001293
19,0.5488993480440082,0.13606312207041288,0.0,0.04807758452783676,0.012285937564489096
20,0.5402533613578157,0.12904222654376996,0.0,0.04512790664569427,0.010840765533713177
21,0.5339797437261264,0.1297633175263147,0.0,0.04263732875402438,0.010341640960039263
22,0.5325411623676736,0.1263306326045043,0.0,0.04083596919321831,0.009996286256265637
23,0.5257108662211635,0.1308616983240108,0.0015,0.03863459389682769,0.00989973565049537
24,0.5233373867036104,0.12333735195616514,0.0005,0.037111646463538345,0.009052992786517935
25,0.5172267422254151,0.12480363668348696,0.0005,0.03528358111363106,0.008510185698013248
26,0.518310088414733,0.12364391905027353,0.0,0.03418096146754205,0.008189613534804324
27,0.5162573001895423,0.12339157998057346,0.0,0.03293415720932699,0.008024218656408887
28,0.5098362849925976,0.1237622543196265,0.0005,0.03142012147332708,0.007489040002173544
29,0.5086711797745248,0.1224048253932382,0.001,0.030408374563548193,0.007388577338686851
30,0.501327025599585,0.11912582624909179,0.001,0.02912791506251572,0.007181508690262017
31,0.49802889944312434,0.11980162315479999,0.0,0.028104671875912528,0.0070139462342879355
32,0.4970447617126911,0.11998200668358507,0.0005,0.027333720725319033,0.007398783918084054
33,0.4933825540575154,0.11830057861484414,0.0,0.026366115291783124,0.006572321677867685
34,0.48945294786024707,0.11765062545648608,0.0005,0.025438565509008592,0.006297178179078224
35,0.48405601136808335,0.11579020869655918,0.0,0.024564338001618332,0.006073574588219357
36,0.4825660823270729,0.11611175918974721,0.0,0.023909057727805612,0.006020441457737588
37,0.47921209275229787,0.11408830722265294,0.0005,0.023171549407843856,0.005715639116815882
38,0.4708073781022753,0.1143457481346063,0.0,0.02224500418206252,0.005579470875356956
39,0.47174810976314574,0.11160480873261928,0.0,0.021794876188692677,0.005212331880737506
40,0.46936434627123447,0.11430541072757819,0.0015,0.021251258811922732,0.00555011631444354
